testuserid,screen_name,affiliation,accuracy,dem_score,rep_score
621515936,AaronGarthSmith,democrat,1.0,0.03486584212803185,0.0
469883605,ABwilhelm36,republican,0.9729460039867107,0.0059328837140243,0.2133649867783792
942625206,alhollowaybiz,democrat,0.7419971465206423,1.4076172705959198,0.48944834103950163
362542539,allisonn1018,republican,1.0,0.0,0.0033244436027186
613644343,Andr3wCart3r,republican,0.5800372527392494,0.07559215758230918,0.10440513521417491
870793391809757184,Anne_Baum12,democrat,0.8793456124733131,0.029016543217228897,0.003981339305451574
1634703169,AnniaMorris,democrat,0.958983865167884,0.2117555273091008,0.009056871105996532
607747843,ArturoPrieto15,republican,1.0,0.0,0.00103990966269125
349740576,Ashlyn_R_Smith,democrat,1.0,0.0968041467977936,0.0
62829259,Astro_Jeff,republican,0.6126948520578521,0.00332018269229013,0.00525234134962131
879153462,astro_ricky,republican,0.6145864538156227,0.008728442000900317,0.013918509792342396
3796400906,AT4MKathy,republican,1.0,0.0,0.00357043390611392
23369254,ATHollywood,republican,1.0,0.0,1.136938547651181
785286349448327168,AudreyLokker,democrat,1.0,0.001603035097264118,0.0
339203562,barbmushinski,republican,1.0,0.0,0.966593332698132
1122940486027751427,BasedLollaa,democrat,1.0,0.10120923771783993,0.0
370270867,bbertrand04,republican,0.5764725242360402,0.10782080476554827,0.14675725908039436
803987850412883968,beckys12341,republican,0.6246554244514869,0.06210605368662415,0.103358049786471
19299772,bedmondson,republican,0.8187348623059759,0.09288687597182108,0.4195496419018713
25537317,beverlyjernigan,republican,0.8407720527053973,1.5951516204270983,8.422886340432605
18940430,bgaige,republican,1.0,0.0,0.006333912360328709
369172909,BillyPugh2,republican,0.8996340108354186,0.021473460752767393,0.19247810721867906
151607698,bkozel80,democrat,0.8772183686218709,0.6060509252582603,0.08482713536691736
37308304,blakemasters,republican,0.7596629398891346,0.3306264128101993,1.045051614780236
40253280,blgriffin,republican,0.6676833656123249,0.0155251696256683,0.031192833685465667
3312868550,boesavage11,republican,0.9261542976108944,2.745710125564241,34.43600846784328
4902382238,boost4dayzzz,republican,0.9766008643827253,0.04242664770307679,1.7707449325220854
472993279,bradford_mck,republican,0.6360566237078004,0.05997024640854854,0.10480881076104853
872408528224440320,brandon_alv17,republican,1.0,0.0,0.103358049786471
747512447800467456,BrothertonDamon,republican,0.7496716038520264,0.007943410721797049,0.023788549551305792
958346436,BryanBaltazar5,republican,0.9085267738781048,0.1356050506803588,1.3468511436562713
808496533159243777,bspenxee,republican,0.6960433849621269,0.045135638997159805,0.103358049786471
36678239,bullyexpert1,republican,1.0,0.0,0.0123474517192328
42354100,B_Laumen,republican,1.0,0.0,0.011571000357057121
1059698372,camflex15,democrat,1.0,0.10826978761804276,0.0
75891443,catarinavit,republican,0.7337567864181833,2.9758525638278304,8.201343368392049
1064630910677585921,Chepis97,republican,1.0,0.0,0.103358049786471
748607385661370368,cheriholde0168,republican,0.99211320626753,0.0230535148454401,2.8999993286096304
3179571211,Chiefllc,republican,0.9537640906258192,0.002292202528414218,0.04728403722635609
388540948,ChrisMortonTxSt,democrat,0.6805029165276195,0.4734200825216957,0.22227139950368813
3250191140,christine_spiro,republican,1.0,0.0,0.03532892152193196
91136462,christy1_smith,republican,1.0,0.0,0.4407488685856791
77366635,Chris_Lopez14,republican,1.0,0.0,0.103358049786471
40390960,cnavas2007,republican,0.8852549155678908,0.2611387895612542,2.014677999050385
297593541,coachkirstenb,democrat,0.9437222886724194,0.0740661450377812,0.00441684294163136
3242021341,Collin_CMC,republican,0.5890500288274814,0.012296311399852697,0.017625363408321583
847831062843707394,ComplianceSerge,democrat,1.0,0.0059328837140243,0.0
59556991,CoogFan,republican,0.8718829461023848,0.06476538466491182,0.4407518957798061
31144451,csigns,republican,0.6636552230791883,0.8456653173311988,1.6686157875313288
447914276,CulbertEnergy,democrat,0.8509276963530575,0.02799732469559776,0.004904794738979225
4740244574,cuneocpa,republican,0.8734742819769664,0.04823839458724055,0.33301527732204594
752873636827062272,cwdavis_111,democrat,1.0,0.004328325363917742,0.0
912863988022734850,Cynthia28778086,democrat,1.0,0.0461070296908802,0.0
906568386,Daniel_Murdock,democrat,0.6398551935305032,0.00402489817579937,0.00226542847387796
237816634,danklimpel,republican,1.0,0.0,0.00280066071736897
1071747120712044544,DavidKeithKeen1,republican,0.9254382871688822,5.421775534892776,67.29350056362024
20633929,davidperona,democrat,1.0,0.08921041509223156,0.0
931015941844099074,davidrojashtx,republican,0.5805315743794754,0.07776188456585102,0.10762008894220729
2555383200,David_Nosnikliw,republican,0.955384663363615,0.0051056746827369,0.1093319843749131
424598179,deborahjkh,democrat,1.0,0.050960975350414016,0.0
1062369486010023938,DeeGeeDoll,democrat,1.0,0.0038739503803494,0.0
1508090251,DianeScardino,republican,0.9109523532384279,0.024900747023456443,0.25473322342978866
145314492,DKanches,republican,1.0,0.0,1.6741242660001079
1560858702,DLenz14,democrat,0.8933889150309398,0.10993062729468292,0.013118389147250222
1164970845787365379,DNieswiadomy,republican,0.9482137846659937,0.05620489966495932,1.0291205928904215
760626091379654656,DolphCamp,democrat,0.5779158936015147,0.06377667701812442,0.046579652898110384
515953058,drewsrp,republican,0.7035104981571229,0.3752483972895465,0.8903896605746651
